toolcombo,toolcombo2,assembly,num_viruses,prop_vir,numtools
1 0 1 0 0 0,tnv 0 tv 0 0 0,Birmingham_Maria,42,0.07678244972577697,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Birmingham_Maria,42,0.07678244972577697,3
0 1 0 1 0 0,0 DVF 0 VB 0 0,Dundee_Clat,94,0.07866108786610879,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Dundee_Clat,94,0.07866108786610879,3
0 1 0 1 0 0,0 DVF 0 VB 0 0,Exeter_Maria,13,0.08074534161490683,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Exeter_Maria,13,0.08074534161490683,3
1 1 0 0 0 1,tnv DVF 0 0 0 VS2,Nieuwkoop_DHB,61,0.08187919463087248,3
1 1 0 0 1 1,tnv DVF 0 0 VS VS2,Nieuwkoop_DHB,61,0.08187919463087248,4
0 0 1 0 0 0,0 0 tv 0 0 0,Spannenburg,315,0.08373205741626795,1
0 0 1 0 1 0,0 0 tv 0 VS 0,Spannenburg,315,0.08373205741626795,2
0 0 1 1 0 0,0 0 tv VB 0 0,Spannenburg,322,0.08559276980329612,2
0 0 1 1 1 0,0 0 tv VB VS 0,Spannenburg,322,0.08559276980329612,3
1 1 0 1 0 1,tnv DVF 0 VB 0 VS2,Nieuwkoop_DHB,64,0.08590604026845637,4
1 1 0 1 1 1,tnv DVF 0 VB VS VS2,Nieuwkoop_DHB,64,0.08590604026845637,5
1 0 1 1 0 0,tnv 0 tv VB 0 0,Birmingham_Maria,48,0.08775137111517367,3
1 0 1 1 1 0,tnv 0 tv VB VS 0,Birmingham_Maria,48,0.08775137111517367,4
1 1 1 0 0 1,tnv DVF tv 0 0 VS2,South_Holland_Dla,18,0.08823529411764706,4
1 1 1 0 1 1,tnv DVF tv 0 VS VS2,South_Holland_Dla,18,0.08823529411764706,5
1 1 1 1 0 1,tnv DVF tv VB 0 VS2,South_Holland_Dla,18,0.08823529411764706,5
1 1 1 1 1 1,tnv DVF tv VB VS VS2,South_Holland_Dla,18,0.08823529411764706,6
0 0 1 0 0 0,0 0 tv 0 0 0,Nieuwkoop_DHB,66,0.08859060402684564,1
0 0 1 0 1 0,0 0 tv 0 VS 0,Nieuwkoop_DHB,66,0.08859060402684564,2
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Dundee_Maria,21,0.08936170212765958,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Dundee_Maria,21,0.08936170212765958,4
1 1 0 0 0 0,tnv DVF 0 0 0 0,London_Maria,58,0.09020217729393468,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,London_Maria,58,0.09020217729393468,3
0 0 1 1 0 0,0 0 tv VB 0 0,Nieuwkoop_DHB,68,0.0912751677852349,2
0 0 1 1 1 0,0 0 tv VB VS 0,Nieuwkoop_DHB,68,0.0912751677852349,3
1 0 1 0 0 0,tnv 0 tv 0 0 0,Cardiff_Maria,56,0.09135399673735727,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Cardiff_Maria,56,0.09135399673735727,3
1 1 0 0 0 1,tnv DVF 0 0 0 VS2,Spannenburg,347,0.0922381711855396,3
1 1 0 0 1 1,tnv DVF 0 0 VS VS2,Spannenburg,347,0.0922381711855396,4
0 1 0 0 0 0,0 DVF 0 0 0 0,Amsterdam_Leid,80,0.09269988412514485,1
